#0713919900224059999   1
30 -9999   141 -9999 -9999   60   10
#0713919900224119999   1
30 -9999   141 -9999 -9999  180   30
#0713919900227119999   1
30 -9999   141 -9999 -9999  270  170
#0713919900228059999   1
30 -9999   141 -9999 -9999  230   60
#0713919900302059999   1
30 -9999   141 -9999 -9999  330   80
#0713919900325059999   1
30 -9999   141 -9999 -9999  290   60
#0713919900325119999   1
30 -9999   141 -9999 -9999  300   80
#0713919900326059999   1
30 -9999   141 -9999 -9999  330   30
#0713919900326119999   1
30 -9999   141 -9999 -9999   20   60
#0713919900327059999   1
30 -9999   141 -9999 -9999  350   50
#0713919900327119999   1
30 -9999   141 -9999 -9999  360   70
#0713919900329119999   1
30 -9999  5001 -9999 -9999   10   60
#0713919900330059999   1
30 -9999   141 -9999 -9999   10   20
#0713919900331059999   1
30 -9999   141 -9999 -9999   30   50
#0713919900331119999   1
30 -9999   141 -9999 -9999   70   40
#0713919900403059999   1
30 -9999   141 -9999 -9999  320   70
#0713919900403119999   1
30 -9999   141 -9999 -9999  290   70
#0713919900404059999   1
30 -9999   141 -9999 -9999  240   30
#0713919900404119999   1
30 -9999   141 -9999 -9999  280   20
#0713919900408119999   1
30 -9999   141 -9999 -9999   40   90
#0713919900411059999   1
30 -9999   141 -9999 -9999  300   70
#0713919900411119999   1
30 -9999   141 -9999 -9999  340   60
#0713919900412059999   1
30 -9999   141 -9999 -9999  290   50
#0713919900412119999   1
30 -9999   141 -9999 -9999  280   50
#0713919900413059999   1
30 -9999   141 -9999 -9999  190   50
#0713919900414059999   1
30 -9999   141 -9999 -9999  260   20
#0713919900414119999   1
30 -9999   141 -9999 -9999  210   60
#0713919900415059999   1
30 -9999   141 -9999 -9999  290   70
#0713919900416059999   1
30 -9999   141 -9999 -9999  240   40
#0713919900416119999   1
30 -9999   141 -9999 -9999  260   70
#0713919900417059999   1
30 -9999   141 -9999 -9999  260   40
#0713919900418059999   1
30 -9999   141 -9999 -9999  270   30
#0713919900419059999   1
30 -9999   141 -9999 -9999  190   40
#0713919900419119999   1
30 -9999   141 -9999 -9999  310  100
#0713919900421059999   1
30 -9999   141 -9999 -9999   40   20
#0713919900421119999   1
30 -9999   141 -9999 -9999   30   40
#0713919900422059999   1
30 -9999   141 -9999 -9999  360   50
#0713919900422119999   1
30 -9999   141 -9999 -9999   90   30
#0713919900423059999   1
30 -9999   141 -9999 -9999  350   20
#0713919900424059999   1
30 -9999   141 -9999 -9999  280   20
#0713919900424119999   1
30 -9999   141 -9999 -9999   20   50
#0713919900425059999   1
